User Email,and can articulate my strengths as a team member (baseline),how to set up a new team for success (baseline),confident communicating and collaborating effectively when working in a virtual team environment (baseline),effectively and efficiently navigate team conflicts while working towards solutions (baseline),and can articulate my strengths as a team member (final),how to set up a new team for success (final),confident communicating and collaborating effectively when working in a virtual team environment (final),effectively and efficiently navigate team conflicts while working towards solutions (final),and can articulate my strengths as a team member (change),how to set up a new team for success (change),confident communicating and collaborating effectively when working in a virtual team environment (change),effectively and efficiently navigate team conflicts while working towards solutions (change)
a53d5f94398a32579de0b3a40bb6367f59e9902daaa9776911b8f9633ddf0ceb,5.0,5.0,4.0,5.0,5,5,5,5,0.0,0.0,1.0,0.0
5b48504bfd28ca0b75477e842192fdcdc8e048422b14cd814a264de89fdd068f,4.0,3.0,3.0,3.0,5,5,5,5,1.0,2.0,2.0,2.0
4e4d4eb33166f3a89ad40fc1981aeb309039d6de5621f07262f4b1a6f59764fe,4.0,4.0,4.0,4.0,5,5,5,5,1.0,1.0,1.0,1.0
53d5533b7449c98b7461a52e18de51f3ed201710d395e112e239d2c966071fbd,4.0,5.0,5.0,4.0,5,5,5,5,1.0,0.0,0.0,1.0
eeb5010da55e8c664ade4d38059903913ac3bd1208665fb4657bd85d5e3895e5,4.0,3.0,4.0,4.0,4,4,5,5,0.0,1.0,1.0,1.0
f4e229aff8610a986597db0296ca3aca230c39cea482140514fd0f6f81dcb8af,4.0,3.0,4.0,3.0,5,5,5,5,1.0,2.0,1.0,2.0
97e05cd9628f89b2424cabf8b83affd97f48b7c8c202357fc667488a2185b295,4.0,2.0,3.0,3.0,3,3,4,3,-1.0,1.0,1.0,0.0
4d03853cfb59f7f13419652f5ec9c3c9f320a3e893ac9d9a20a4f817f0f368ab,4.0,3.0,4.0,4.0,5,4,5,5,1.0,1.0,1.0,1.0
aecf1bc8c5d3777425b481dc95a37c9d0470232287a8aabd7c9795c9c0733db0,4.0,4.0,4.0,5.0,5,5,4,4,1.0,1.0,0.0,-1.0
71811fe0262630a98bb5a7595b263f06a46af19b1efb88d6008fdbd1142c5ef5,5.0,4.0,5.0,4.0,5,5,5,5,0.0,1.0,0.0,1.0
1ac947df9f17833e851ff8d4f8cf968550e2c0242c4ea4aee8441ed479b864b6,5.0,3.0,4.0,4.0,4,5,5,4,-1.0,2.0,1.0,0.0
6225f07dae6ff43c2c66804e32c7d21c0847f633f199f15233644c44b3aa0c94,4.0,4.0,4.0,5.0,4,5,4,5,0.0,1.0,0.0,0.0
9346d10870a4bf24e00dd325dbb09b62cb116a8bc38fd1bc6fa5668bb42a2780,5.0,3.0,4.0,4.0,4,4,4,4,-1.0,1.0,0.0,0.0
7d5e2134136a6d90f563d23d97674d03ed82b36c500a34a5160e1ec2c7ec584b,5.0,5.0,5.0,5.0,5,5,5,4,0.0,0.0,0.0,-1.0
881c21c058f09695c0304e7f5faa9aaf4c583bf291345528dd3a0576a9766fd0,3.0,3.0,4.0,4.0,5,5,5,5,2.0,2.0,1.0,1.0
1f239d8e4308fb88621691942b1d79d408d4fe9e0d8c281f6ed74d018b696bc4,3.0,2.0,5.0,4.0,5,5,5,5,2.0,3.0,0.0,1.0
