User Email,to use a structured and logical approach when solving complex problems problem solving (baseline),"to think creatively, innovatively and divergently initiate fresh solutions to complex problem (baseline)",cognitive flexibility and curiosity to continue investigating the best solution when aspects of the innovation aren’t working out (baseline),"to pitch an idea succinctly, clearly and persuasively, selecting appropriate presentation materials to support key information (baseline)",to use a structured and logical approach when solving complex problems problem solving (final),"to think creatively, innovatively and divergently initiate fresh solutions to complex problem (final)",cognitive flexibility and curiosity to continue investigating the best solution when aspects of the innovation aren’t working out (final),"to pitch an idea succinctly, clearly and persuasively, selecting appropriate presentation materials to support key information (final)",to use a structured and logical approach when solving complex problems problem solving (change),"to think creatively, innovatively and divergently initiate fresh solutions to complex problem (change)",cognitive flexibility and curiosity to continue investigating the best solution when aspects of the innovation aren’t working out (change),"to pitch an idea succinctly, clearly and persuasively, selecting appropriate presentation materials to support key information (change)"
1846bbd4ca46bef1d932f8e40b2bf68679d7b26f4872d2a9c327359fb3368220,3.0,3.0,5.0,3.0,5,5,5,3.0,2.0,2.0,0.0,0.0
7f0f6acfe433220d15d1c2673b07f143059500d2e6b4389d77a0e92fb8a790a7,4.0,3.0,4.0,4.0,4,4,5,4.0,0.0,1.0,1.0,0.0
c34a979ded4ed502c459c07d28117a969745e449efb1718f955596672eb060de,4.0,3.0,3.0,4.0,4,4,3,5.0,0.0,1.0,0.0,1.0
26ffcf4c91006a15f9f587c14633e7c4b02c73e7f0f69195f139b4f43a06d20a,4.0,3.0,4.0,3.0,5,5,5,4.0,1.0,2.0,1.0,1.0
e97bf6ed7f12a2694b908050d0296c6131a9a83469269798a8f3fee33a4d0fce,4.0,3.0,4.0,3.0,4,4,4,5.0,0.0,1.0,0.0,2.0
942dfe9c621991351fb217841f7672bd28aa683acd32fc421d2ab8a79fade2c4,3.0,4.0,4.0,2.0,5,5,5,5.0,2.0,1.0,1.0,3.0
bb718314e31deae3e9028b9aa28ce63561b8f5fce904ba7f7f884cfb617b9f27,3.0,4.0,4.0,3.0,4,4,4,4.0,1.0,0.0,0.0,1.0
f2c843d1a4b9aaaadf5ddc280b33546b12e1283bc6624345dce3dc4fd047e100,3.0,3.0,4.0,2.0,3,3,4,3.0,0.0,0.0,0.0,1.0
897ec107352dbd1bbcfcf271c36ff89e955de3e47c3a9bcbf974df3782c3b7d5,4.0,4.0,4.0,3.0,4,5,4,5.0,0.0,1.0,0.0,2.0
b397d0be0340c34fc8980f8dc9c19f5b4d66a8344b393428884c29cff0a325f0,4.0,4.0,3.0,2.0,4,3,3,5.0,0.0,-1.0,0.0,3.0
18a2dc3b5403a8098d7394dfbccf6a3008037b5f23512801eee9c35f3983faec,3.0,3.0,4.0,3.0,3,1,4,3.0,0.0,-2.0,0.0,0.0
63f409ce367df91e60a7f9a072f5855f5c4de6e4ecd8c890b2c4e4248b7d2a69,4.0,5.0,5.0,5.0,5,5,5,5.0,1.0,0.0,0.0,0.0
db8edd1499249d710906d996d0afdfa1d34c7b7cabdc403f6dd3c29d1556ad3d,4.0,4.0,4.0,4.0,4,4,4,4.0,0.0,0.0,0.0,0.0
2414d2a11b2b9edd84e10aed6701cb7db801bb3054aaf58a54d5871fcb038d19,5.0,4.0,2.0,3.0,4,4,4,4.0,-1.0,0.0,2.0,1.0
b8778bfd9360fbdaa24de80b06aeb970a343bfe864dea3ea381ff2e73d823083,4.0,5.0,4.0,3.0,5,5,4,4.0,1.0,0.0,0.0,1.0
99516e7e08dc5ce67d5adc2363f5d58bd05cd8d3a39dc7768727a7d65349cf70,5.0,5.0,5.0,3.0,5,5,5,5.0,0.0,0.0,0.0,2.0
1805e372bd131e5c5e617f9855c24e810f4dcfe0707f3e100fb41fd12aae4e13,5.0,4.0,4.0,4.0,4,4,4,5.0,-1.0,0.0,0.0,1.0
b42921fe42ec50cf46e9c983e3ab53b10dc79e50dec78bde2fdeff3d6592bfc3,3.0,4.0,5.0,5.0,4,4,4,4.0,1.0,0.0,-1.0,-1.0
da7fabd17d5e40757e29a613087bcdf560fa4fb65eab247766ab0462458d467d,5.0,3.0,3.0,3.0,5,4,4,5.0,0.0,1.0,1.0,2.0
4e622edb346962bd59e595aa7736d8050db0c83b4f21ad9a7950a4e828f6332e,5.0,5.0,5.0,5.0,5,5,5,5.0,0.0,0.0,0.0,0.0
037e353452a3c48a549758a69c414e17845716fb02f0215d4d4144be6470f805,4.0,4.0,4.0,4.0,4,4,4,3.0,0.0,0.0,0.0,-1.0
2ce966a4a3f14093f75980c37a7533d27f3b7c5a83b64e9dcbeca3ca39c82e28,3.0,3.0,4.0,2.0,4,4,4,2.0,1.0,1.0,0.0,0.0
