User Email,to practise critical thinking and structured problem-solving while working towards solutions (baseline),to truly understand the root cause of a problem and can accurately and succinctly articulate that core problem (baseline),to maintain a level of adaptability and flexibility during the generation of solutions to situations (baseline),to practise critical thinking and structured problem-solving while working towards solutions (final),to maintain a level of adaptability and flexibility during the generation of solutions to situations (final),to truly understand the root cause of a problem and can accurately and succinctly articulate that core problem (final),to practise critical thinking and structured problem-solving while working towards solutions (change),to truly understand the root cause of a problem and can accurately and succinctly articulate that core problem (change),to maintain a level of adaptability and flexibility during the generation of solutions to situations (change)
64e6396d2f134e2ef5c62f8dd17f6b6e7453ccc3ae968f88efe0728c366827d9,3.0,3.0,2.0,5,5,5,2.0,2.0,3.0
200bbd855a3eeb1ba0177ad485a09c7fa442a70c29d903fc88abbd4520e88617,4.0,5.0,3.0,4,4,4,0.0,-1.0,1.0
125fec6dc2fa50b52f1608a69f07e59d940f1f68535f869ff52a0e702f4d321e,3.0,3.0,4.0,5,5,4,2.0,1.0,1.0
13f955946db705d03c6f29528c47201a796aae7ecfbba3ce2e849afe029359f8,3.0,3.0,4.0,4,4,4,1.0,1.0,0.0
4270c4d533e02d08f91eabaa812fbbf33f03aaaf9fc60db5ad98fb35a842c97d,3.0,4.0,4.0,4,4,3,1.0,-1.0,0.0
315ac5262055c31087fb3610c20cf294654e943c522917e00215cccb2e086865,4.0,4.0,5.0,4,5,4,0.0,0.0,0.0
243ad93aee3e033fd36772b00e8ba14766cd90b4e6bfa0ff4058216df29d8add,4.0,5.0,5.0,5,5,5,1.0,0.0,0.0
5b39815b9ad3286d085d74b1fa0cfe0b5da332bc136e0cedec678b4963c4c2dd,4.0,4.0,4.0,5,5,5,1.0,1.0,1.0
c5940aafc781b2ac47bf26f3e5aef3d4a731791905c1d13ec9574440a30e12a9,3.0,4.0,3.0,4,4,4,1.0,0.0,1.0
91d03a650d676ef9300a45cc8fcca9485a083dfaa4d2e5b19d9ef933be787c37,3.0,3.0,4.0,4,4,4,1.0,1.0,0.0
75be10d3c7bc0f01d37a23e0fc3f5b814a3baca62608e348b18855efa8461f2d,3.0,4.0,2.0,5,5,4,2.0,0.0,3.0
6ecd7d7e46185a0af2e2b22bc5c7bcb5164b0133cec87147c111efae0ec31cf9,4.0,4.0,4.0,5,5,5,1.0,1.0,1.0
28ee430bbbab27e3f08c3a25101f9d7f453226799731d049743964ea99bf57f8,5.0,5.0,3.0,4,4,4,-1.0,-1.0,1.0
28b85b3084f25119e32021ce16d7e1652ab924bbb34160fbd5933c5108621961,4.0,4.0,3.0,3,3,3,-1.0,-1.0,0.0
e54e8b74ac949286d75a067b82d93616e49401777af0017dbaa8500e53187086,4.0,3.0,3.0,5,5,5,1.0,2.0,2.0
dc06b96dabd58dfba12adbd35bf9685bda2cf1bfa6fe876c5d7f150591c898f2,5.0,5.0,5.0,5,5,5,0.0,0.0,0.0
e40746388906a37f273ab2a6bfa11a6b9894b6f4a94453d71fc313225c0802b8,3.0,4.0,4.0,4,4,4,1.0,0.0,0.0
b50336afdcd4bac320331c5a7339824dda8d7781a7cc3a2fb36a848df2c8941f,3.0,2.0,4.0,5,5,5,2.0,3.0,1.0
37745e914af0ee24cd74de84a1b3bdc11fb9e7875df68e1e810116386ff45f8e,5.0,4.0,5.0,4,4,4,-1.0,0.0,-1.0
b73d5aebc2df4144f2c53ba63cc74aef0dc3eec262cea876c8da25a2bd0e51a2,3.0,2.0,3.0,4,3,4,1.0,2.0,0.0
3ca5a0e96077f47f0830448075ae6384e950e2a1aaf4633313e8fa2e0c03e2ca,4.0,4.0,3.0,5,5,5,1.0,1.0,2.0
e0204d0903a3a39367b044f83b570df02edf4b172294f1e6801a8aae8838d6b1,4.0,4.0,5.0,4,4,5,0.0,1.0,-1.0
4ccfbe43062dba4ad91ed94c83276797b3a3f7c65c25ef357276fa3095507ad2,3.0,3.0,3.0,4,4,4,1.0,1.0,1.0
7e27f88b42c70712bcf749e192ba0f5c9fccbb2c4566f2593852faf3c1541cc5,4.0,4.0,4.0,3,3,3,-1.0,-1.0,-1.0
1f15798d2f7c3cd0af2621128a3e1ea5001dfe76b43af27c33a3ab50bdeaef73,4.0,4.0,4.0,5,5,5,1.0,1.0,1.0
99adabeeb3ad685d370cdec8053a5ca50a9f064e4c8d97e9e69a7d98d8a8741e,4.0,5.0,4.0,4,4,4,0.0,-1.0,0.0
67cb2f02b9b0f8f5d28e7c188bc6d9949ad42a49b6463fb3caf24c1f9f442328,4.0,4.0,4.0,5,4,4,1.0,0.0,0.0
0e119bfc228797e9fe64d38e5cfc35bf5dbe8af342b41eaa39a4ab4f126e0555,3.0,3.0,4.0,5,5,5,2.0,2.0,1.0
9e50eba694332f0fde0488d84d59f3bd1186c819b8ed83eea55fa77cdb1ac876,4.0,4.0,4.0,4,4,4,0.0,0.0,0.0
c64c4f93cddd8d05cedb570197e66c990a48f05f88387457c444d0515481e2bd,4.0,4.0,4.0,4,4,4,0.0,0.0,0.0
26b9a02bd40f7e74f580efe1260e8f71c36386b1a215c14a7a664f9620427c8e,5.0,5.0,4.0,5,4,4,0.0,-1.0,0.0
6658272f77e86225a063ae2f076739f65ce3fa3f6402d066cc09821301c0892c,2.0,4.0,3.0,4,5,5,2.0,1.0,2.0
24f50a7b70db4b1b9bb4052b0543f279b543d26f51abbfccf8fb78198bc946df,4.0,5.0,3.0,4,5,4,0.0,-1.0,2.0
71b409774f8585b412435d4a0475559ecaf8e9ba9b5ca25ea2f07f77d8b0e593,3.0,4.0,5.0,4,5,5,1.0,1.0,0.0
d9ce8cf00da2f8df235bfd1c81060cbd51a828915b644bfb5d1074e708d0951f,5.0,4.0,5.0,4,3,4,-1.0,0.0,-2.0
d521c2bdf34b1fae4fd90a0bb90653dfadeadf778c14bf399b3509100fcc86af,5.0,5.0,5.0,3,4,4,-2.0,-1.0,-1.0
f2a448579ac19a8fc3372ed45dbceeaeae764afeb2d15d324af90f0462dbeeda,3.0,4.0,3.0,4,4,5,1.0,1.0,1.0
28355421517794c5296d2b039cfd05fe6e3fc416b3fd50d505fdcd16f9c6ed40,5.0,5.0,4.0,5,5,5,0.0,0.0,1.0
5a3af1208b5cc69304515e4340cd52f9588e03fa6e46c5ef7160677e4a6ce3d1,3.0,5.0,4.0,4,4,4,1.0,-1.0,0.0
778548173a932412b0211e0629d77c1950d280cc1af0211d4f1fb531b188fcb7,3.0,4.0,3.0,4,4,4,1.0,0.0,1.0
dac0af7bd156cbb8e86cf002fc1ac62d2635b77610d5a3034aa8f9b114f1df4c,3.0,3.0,3.0,3,3,3,0.0,0.0,0.0
7142e940363cf4fb966115c3b48354bf021ce64df0a9e9e91e8ef424aa675d74,3.0,3.0,4.0,5,4,4,2.0,1.0,0.0
fbaa09b0cdfb0c98c5b5ae60afe637aadac4b9520105716e7f2370046c5efd29,3.0,5.0,3.0,4,4,5,1.0,0.0,1.0
7bcf528bfd2da875f5796f16cbbb3af975d48d59c7def7019bdd01edcf4d737e,3.0,3.0,3.0,4,4,4,1.0,1.0,1.0
4912f721c015dab3e9f1eed7cd70cae77388f9ab922ec47943b2c3c121a89e6b,4.0,4.0,3.0,5,5,5,1.0,1.0,2.0
ef104801fb608cf8e72cd455a1c9ece0a057c41b10e81e756a171b5b48797239,4.0,3.0,4.0,5,5,5,1.0,2.0,1.0
b0f6208825a95408288a8536c1ddc43e4e5039ba6f2cc45fa2661497d4f0d103,4.0,5.0,3.0,4,4,4,0.0,-1.0,1.0
0f8b45a5d23b364256f22c6ae746037c143db956152305e4f57eb9f585cde3de,4.0,3.0,3.0,4,4,4,0.0,1.0,1.0
8e062bfcb825e224bcc438b8cc8064a0106e3766e370c6a0315885c5451928ad,5.0,5.0,5.0,5,5,4,0.0,-1.0,0.0
7ec112c0bb303fc3b32223dcbb5b850aefd9977a77e3707d86757655936a8bf3,4.0,4.0,4.0,5,5,5,1.0,1.0,1.0
ac57a589c380490f1de1f7aa09345e49491552684859c3f2700ece4b4e5615c6,5.0,5.0,4.0,4,4,4,-1.0,-1.0,0.0
7af4c3d858356632a0f388697e5e452f10e12b25c9a27fa73f0314b32b4fb65e,3.0,4.0,5.0,4,4,3,1.0,-1.0,-1.0
953026eb996ce9cd21730d009f26c54f78edb6ed7635ccbc3ea94c032597e6ce,5.0,5.0,5.0,4,4,4,-1.0,-1.0,-1.0
d56fec8aa1493f116e2269d6cb4d1e3ef571c0853a4667a55130bec1b72c77f9,5.0,5.0,5.0,5,5,5,0.0,0.0,0.0
91d414ada4388ee109326ed35a1d2c7e4f27e208418cdea918866f4237e0db00,3.0,3.0,4.0,3,3,3,0.0,0.0,-1.0
9666224a7f56ab440e8d49f3ea212e1ccdbe2d38b0d784f49ad27e32189c7cc8,3.0,4.0,4.0,4,4,5,1.0,1.0,0.0
9890a92f85226f212ad4c63077cf56272d185fb1436489547a77589f6af91c43,4.0,4.0,4.0,5,4,5,1.0,1.0,0.0
