User Email,to articulate my own personal & workplace values (baseline),to identity organisations that share my personal and workplace values (baseline),"at perceiving others’ worldviews and effectively acknowledging, navigating and respecting these views when working in a multicultural team setting (baseline)",and take into consideration local culture and business intelligence when working with an international client/organisation (baseline),to articulate my own personal & workplace values (final),to identity organisations that share my personal and workplace values (final),"at perceiving others’ worldviews and effectively acknowledging, navigating and respecting these views when working in a multicultural team setting (final)",and take into consideration local culture and business intelligence when working with an international client/organisation (final),to articulate my own personal & workplace values (change),to identity organisations that share my personal and workplace values (change),"at perceiving others’ worldviews and effectively acknowledging, navigating and respecting these views when working in a multicultural team setting (change)",and take into consideration local culture and business intelligence when working with an international client/organisation (change)
981c1b1b55c111c78307991f5433548506ceee2ae395d344eaec25f159b9cd2f,4.0,4.0,4.0,4.0,4,4,4,4,0.0,0.0,0.0,0.0
d87b989ef67a4d898b90253673a6b67e52f62b6c26bc4119b00d8a87483d77cb,4.0,4.0,4.0,3.0,5,5,5,5,1.0,1.0,1.0,2.0
2f901bf0e969710827ab90e02119c084198ce0eec904e829eb8de33acc297593,3.0,3.0,5.0,5.0,4,5,4,4,1.0,2.0,-1.0,-1.0
3fff6bed307bf386581795c6089c892f1154bd75f6cf035b9b2659ae5b8b31e8,4.0,4.0,5.0,4.0,5,5,5,5,1.0,1.0,0.0,1.0
3b3bd3d6636badba6de7c6bed224f61531d106fa6384e249d752ac58e7938c49,5.0,5.0,5.0,5.0,4,5,5,5,-1.0,0.0,0.0,0.0
224c5bcac069af1c40f994e5e67756267beb0791ce1f07c850d98a77bc1ac3a5,4.0,4.0,4.0,4.0,4,4,5,4,0.0,0.0,1.0,0.0
a6e2bbba87fa378663804ed929bb1b8b4b549e38e752263b22617f9922ea0f52,5.0,4.0,4.0,4.0,5,5,5,5,0.0,1.0,1.0,1.0
ba9ddf8e0bb819b557d486a4d85099f37f1f9c72d28c9172aeac1867c4a92a66,4.0,3.0,4.0,4.0,5,5,4,4,1.0,2.0,0.0,0.0
da7584119a4bec08ae693384812fac9d3fc3b3181f58cc110873cffdb96d20e9,2.0,2.0,2.0,2.0,5,5,5,5,3.0,3.0,3.0,3.0
4d6e1c858049be570350a2458251144b0e8d604240bf8f978a2282ec7f3739fa,3.0,4.0,3.0,4.0,5,4,4,4,2.0,0.0,1.0,0.0
ed9d1dc54b55b643c10bd18323d768da52f3699b598c0758403955db22e3623a,4.0,4.0,4.0,4.0,4,4,4,4,0.0,0.0,0.0,0.0
7366e85eb3b8a0b6f7ccfd6021705a55aafab5ef76f70dcd86590579eabe7024,4.0,4.0,4.0,3.0,3,4,4,4,-1.0,0.0,0.0,1.0
37745e914af0ee24cd74de84a1b3bdc11fb9e7875df68e1e810116386ff45f8e,4.0,4.0,4.0,4.0,4,4,4,4,0.0,0.0,0.0,0.0
3956879293c32a0e5f18af0337a04d2e07e1d6a1fe0afb4a441e4329c9b7f2b7,3.0,4.0,4.0,3.0,5,4,4,4,2.0,0.0,0.0,1.0
02d7057f49d581bf8e492ccb5faf6cd2059d6394645ee05d9dc4c86c03e72e80,4.0,4.0,5.0,4.0,4,4,5,4,0.0,0.0,0.0,0.0
4f2e776785204b1c72c6ae6dddf6ff719900144cb54ba4c317ab806145eb3625,5.0,4.0,4.0,3.0,5,5,5,5,0.0,1.0,1.0,2.0
fb636c9a8e7b186ae92875560b9c89a5751fbda643df6c7ed997599240552447,5.0,3.0,5.0,5.0,5,5,5,5,0.0,2.0,0.0,0.0
cf7d83ec582ca3c56848aae6145d96960c168e0ee399bd3a593d9e79ed9b4d37,4.0,3.0,4.0,3.0,5,5,5,5,1.0,2.0,1.0,2.0
2a3d74de2adef5fca2b2ee6d004be68c1cc50f6d48fcf3f571554da4915b438d,4.0,3.0,4.0,3.0,5,5,4,4,1.0,2.0,0.0,1.0
d521c2bdf34b1fae4fd90a0bb90653dfadeadf778c14bf399b3509100fcc86af,4.0,4.0,4.0,4.0,4,4,4,4,0.0,0.0,0.0,0.0
6484bc7f99a8e4bd3e62530d90468f4591f02d24ecfa43007a62d5b3c6e7ff39,4.0,4.0,5.0,4.0,4,4,5,4,0.0,0.0,0.0,0.0
729e50d0fc14c8c720ea458810d51f0bb60f4ddb160ab680195349edc57c9a9d,4.0,3.0,4.0,3.0,5,4,4,4,1.0,1.0,0.0,1.0
75be10d3c7bc0f01d37a23e0fc3f5b814a3baca62608e348b18855efa8461f2d,4.0,3.0,5.0,4.0,4,5,5,5,0.0,2.0,0.0,1.0
8d5b846ad37ff6d28e00f7625cd642c67fa26993d89b5150414d6faf537128c8,3.0,3.0,2.0,4.0,5,5,5,5,2.0,2.0,3.0,1.0
c02d309132acca1bccdc395f2ddd61fdb2adf17321c2095bd2c1988004f59c86,5.0,5.0,4.0,4.0,5,5,5,5,0.0,0.0,1.0,1.0
1f15798d2f7c3cd0af2621128a3e1ea5001dfe76b43af27c33a3ab50bdeaef73,4.0,4.0,4.0,4.0,5,5,5,5,1.0,1.0,1.0,1.0
3b729e3424a8354a050d98eedea7559f75a5e2064896ca738af934251709c934,4.0,4.0,4.0,3.0,5,4,4,5,1.0,0.0,0.0,2.0
9ddbc7c2b91ac75b318e49aa1f1b3ceb0ecad3bbf937a3b96e06cea06ac9e354,4.0,4.0,4.0,4.0,4,4,4,4,0.0,0.0,0.0,0.0
b50336afdcd4bac320331c5a7339824dda8d7781a7cc3a2fb36a848df2c8941f,3.0,3.0,5.0,5.0,5,5,5,5,2.0,2.0,0.0,0.0
f802ccf482a27d9e0f9a7e236ee502b66f5cc5995443bf27e6f7d7f291e791e2,4.0,4.0,4.0,4.0,4,4,4,4,0.0,0.0,0.0,0.0
443d94928116b8eb18edfb16ae50137dfaf7701f5db4c9f273b6666211aaca6c,4.0,2.0,4.0,5.0,5,5,5,5,1.0,3.0,1.0,0.0
200bbd855a3eeb1ba0177ad485a09c7fa442a70c29d903fc88abbd4520e88617,4.0,5.0,5.0,5.0,3,4,4,4,-1.0,-1.0,-1.0,-1.0
243ad93aee3e033fd36772b00e8ba14766cd90b4e6bfa0ff4058216df29d8add,5.0,4.0,5.0,5.0,5,5,5,5,0.0,1.0,0.0,0.0
6eac25ad9fd687ed723cbc24a83c85983492db1ea577be81f7bbf9488d6e7cd6,4.0,3.0,4.0,3.0,4,4,4,4,0.0,1.0,0.0,1.0
138aa9f78303d957b501a55091f0c7e89537c83ded1e1359987224846aade21d,4.0,4.0,3.0,4.0,4,4,4,3,0.0,0.0,1.0,-1.0
86a2ab34721f35317196383f9043be19a50107b6cbab5bf665b39d8b832a8a92,5.0,5.0,5.0,5.0,5,5,5,5,0.0,0.0,0.0,0.0
ed65b5b5df355088bf12fbf7b6ac4b8565eea17de2c4122c0a8716905275f76e,3.0,4.0,3.0,3.0,5,5,4,4,2.0,1.0,1.0,1.0
28355421517794c5296d2b039cfd05fe6e3fc416b3fd50d505fdcd16f9c6ed40,5.0,5.0,5.0,5.0,5,5,5,5,0.0,0.0,0.0,0.0
b683e7e03f2b93eb5d49110918a1a0cfe7cef043013037925240d5e540d4fa74,4.0,3.0,4.0,3.0,5,4,4,4,1.0,1.0,0.0,1.0
26b9a02bd40f7e74f580efe1260e8f71c36386b1a215c14a7a664f9620427c8e,4.0,3.0,4.0,4.0,5,5,4,4,1.0,2.0,0.0,0.0
d9dd526dff98852523a63d001739b69e303f1e8943d8fa0896a8a74a180074dd,5.0,4.0,3.0,4.0,4,5,4,3,-1.0,1.0,1.0,-1.0
620b7fb5741726cc3b0ac6e67f3886af269044b92042cbcf171ac3633307c126,4.0,4.0,5.0,4.0,4,4,4,4,0.0,0.0,-1.0,0.0
3ca5a0e96077f47f0830448075ae6384e950e2a1aaf4633313e8fa2e0c03e2ca,3.0,3.0,4.0,2.0,4,4,4,4,1.0,1.0,0.0,2.0
c9ab044bb9213f923611099d8d96cd3cae0e91a6cf6ad88327b3cb055981e1cc,5.0,4.0,5.0,4.0,5,5,5,5,0.0,1.0,0.0,1.0
84d1acbdc265054cce941ef1410e33f9b35ec1aaae9b03955478a6c42f41ecef,4.0,4.0,4.0,3.0,4,4,4,4,0.0,0.0,0.0,1.0
1f2b3a4fa86e511f1e53dda4c0e2834efb3f86275a63eea734214627d12a62c7,5.0,5.0,5.0,5.0,5,5,5,5,0.0,0.0,0.0,0.0
714e59b6924cead92936e3603749abd4596917784913eac680ea29ff27232b9e,5.0,5.0,5.0,5.0,5,5,5,5,0.0,0.0,0.0,0.0
b73d5aebc2df4144f2c53ba63cc74aef0dc3eec262cea876c8da25a2bd0e51a2,5.0,4.0,4.0,2.0,5,5,5,5,0.0,1.0,1.0,3.0
9a95b72e751d1e4321d4a67f3e09294a05ad04850020711436a7087c79a91c27,2.0,3.0,4.0,3.0,4,4,5,3,2.0,1.0,1.0,0.0
e6daa2ce1a90875e35c3d3de4a8acad9075908ff4101f16bc9dc45c30bb99915,4.0,4.0,4.0,4.0,5,5,4,4,1.0,1.0,0.0,0.0
e0204d0903a3a39367b044f83b570df02edf4b172294f1e6801a8aae8838d6b1,4.0,4.0,5.0,5.0,4,4,4,4,0.0,0.0,-1.0,-1.0
570392c9dd4a2482f6e04e11c34b6b2e076391662a34f0562bea17da7f35216c,5.0,5.0,3.0,3.0,5,5,5,5,0.0,0.0,2.0,2.0
293630c601c964e9cd86fff2c78330337d30bb349f52f6ef6761031c15b88bbf,3.0,4.0,4.0,3.0,4,3,3,3,1.0,-1.0,-1.0,0.0
5646897a76fb92aabc9a1f886fc2f58be742f97f5c9ef7b3261a8a481877421b,5.0,5.0,5.0,5.0,5,5,5,5,0.0,0.0,0.0,0.0
9e50eba694332f0fde0488d84d59f3bd1186c819b8ed83eea55fa77cdb1ac876,3.0,3.0,3.0,3.0,4,4,4,4,1.0,1.0,1.0,1.0
71c22b7f7a65e110bbe19dc3860a03b8ea883c4ebb9978807127c31cf42abdbb,3.0,3.0,5.0,3.0,4,4,5,4,1.0,1.0,0.0,1.0
48c934b978f148f486dbcdd69b1fd8d6c186317dcae37007bc1f5d83faac5e1a,4.0,3.0,4.0,3.0,5,5,4,4,1.0,2.0,0.0,1.0
0e119bfc228797e9fe64d38e5cfc35bf5dbe8af342b41eaa39a4ab4f126e0555,4.0,3.0,4.0,5.0,4,4,5,5,0.0,1.0,1.0,0.0
315ac5262055c31087fb3610c20cf294654e943c522917e00215cccb2e086865,4.0,4.0,5.0,4.0,4,5,4,3,0.0,1.0,-1.0,-1.0
44c50b629772bce5945ccdc9312778849477d13521073356020efd3165a3575d,3.0,2.0,4.0,4.0,4,4,4,4,1.0,2.0,0.0,0.0
b2cf4793a184f3b212ce3cb32d19a4db8595e45415080249d57886186f708a60,4.0,4.0,4.0,4.0,4,4,4,4,0.0,0.0,0.0,0.0
f7b2f0ac0b0ad828f45ef7b204b3bb6640abf81f79624d2ac71f99110316e184,4.0,4.0,4.0,4.0,4,5,5,3,0.0,1.0,1.0,-1.0
ef02346d2c1e245ec057bc38358a0102d2f059763f4b21f219a50f9fe452d51d,5.0,4.0,4.0,3.0,5,4,4,4,0.0,0.0,0.0,1.0
bfcf62cfa46203734aa131f4fb066e949fceb96017c434cb8eb7b5bdb46b21ad,3.0,3.0,4.0,4.0,4,4,4,4,1.0,1.0,0.0,0.0
b5b8c081e5e5911eccdfd2923949bc94a900e91b1059608c1bebe6a3655f833b,3.0,4.0,4.0,3.0,5,4,5,5,2.0,0.0,1.0,2.0
3569a9e2f1ec09d3bf7bd2962e668da52ba27b30387274a38285927f5b148570,5.0,5.0,5.0,4.0,5,5,4,5,0.0,0.0,-1.0,1.0
528451b9601b6b94341d6e8f98e4b7baae363665bbf39e02067bb41ec010ebd7,5.0,5.0,5.0,4.0,5,5,5,5,0.0,0.0,0.0,1.0
52badddfec0abbbd22b6ec63993627dbe0581065ee77a564a85737c92a449175,4.0,5.0,4.0,4.0,5,5,5,5,1.0,0.0,1.0,1.0
256848a80e774678c58d78a76189a31a26118eb3e9b15c213197c8ee7121b00c,5.0,5.0,5.0,5.0,5,5,5,5,0.0,0.0,0.0,0.0
96ed0d34db592a2804a26309d5cdc352aa2a11319cf678d9350d50baaf0f4822,4.0,3.0,3.0,2.0,4,4,4,4,0.0,1.0,1.0,2.0
6f2e1c9d59dfd8eff4966a552e994040f95dd7bff9cf06bbeed29002adf23e04,3.0,5.0,5.0,5.0,4,5,5,5,1.0,0.0,0.0,0.0
d3f2a5743dc6fa62f3bff03fbf51a7ce291798bbcda541d7bba9e3cb206681cc,4.0,4.0,5.0,5.0,5,5,5,5,1.0,1.0,0.0,0.0
1b8e95d83c37f6b4cf7ef15a5aaae15f4a6b51b3a280cfce424e8caddc990c46,4.0,3.0,3.0,3.0,4,4,4,4,0.0,1.0,1.0,1.0
4912f721c015dab3e9f1eed7cd70cae77388f9ab922ec47943b2c3c121a89e6b,3.0,4.0,4.0,2.0,3,4,3,4,0.0,0.0,-1.0,2.0
ac8bb5f9cb88b0f9254af9def7dacbf449befa841cfea001e40f0f1c15ed3c2b,5.0,4.0,4.0,3.0,5,4,4,5,0.0,0.0,0.0,2.0
376cc78ba4589dc7976f0180b4fbe67a0f872370cb4c9c526994b37a2ce4a83e,5.0,3.0,5.0,5.0,5,5,5,5,0.0,2.0,0.0,0.0
fe5c6f821d165438219194a68c514dc6d7e6471c32d8c740c706d2a902848cd9,5.0,4.0,5.0,4.0,5,5,5,5,0.0,1.0,0.0,1.0
99adabeeb3ad685d370cdec8053a5ca50a9f064e4c8d97e9e69a7d98d8a8741e,4.0,4.0,2.0,3.0,5,5,5,5,1.0,1.0,3.0,2.0
d17a6c6c8feebb2e6c10064a937605e9e391936d49dea94b687be1f690d312c9,4.0,3.0,5.0,5.0,5,5,5,5,1.0,2.0,0.0,0.0
d037c68bc302e73b9adca540a16062bf2c6f9033822397f50d93d79485584d80,5.0,5.0,5.0,4.0,5,5,5,5,0.0,0.0,0.0,1.0
e36169f00a47ee24bf8f6e504ee5a6035c973d5da4ef993660a0f51914b451ec,3.0,3.0,4.0,3.0,4,5,4,4,1.0,2.0,0.0,1.0
d56fec8aa1493f116e2269d6cb4d1e3ef571c0853a4667a55130bec1b72c77f9,5.0,5.0,5.0,5.0,5,5,5,5,0.0,0.0,0.0,0.0
6e2c2c3145b9f9b421d2c3fd8a214a7266d4ce5e0e066cddd04d33a1175d76f1,4.0,4.0,4.0,4.0,5,5,5,5,1.0,1.0,1.0,1.0
9d904792aa7052be27491e468f2a5bbea6aeee8c6a52b2832e1692d5238d11c2,4.0,4.0,4.0,4.0,5,4,4,3,1.0,0.0,0.0,-1.0
ad49102cf2d6e6e1c68a1c9d9df68520f3b2284663754e072c8cd1fa0fc317d9,4.0,4.0,4.0,4.0,3,4,5,5,-1.0,0.0,1.0,1.0
090c9c545f1d6129c0e0a3ccf4656c85953e36a207a054865497c8b5c633a03b,5.0,4.0,4.0,3.0,3,4,4,3,-2.0,0.0,0.0,0.0
d232f22291467e931cc8946241d830189a3ac9afc97230e53db2138253141f9e,4.0,4.0,3.0,3.0,5,5,5,5,1.0,1.0,2.0,2.0
