User Email,and can articulate my strengths as a team member (baseline),how to set up a new team for success (baseline),confident communicating and collaborating effectively when working in a virtual team environment (baseline),effectively and efficiently navigate team conflicts while working towards solutions (baseline),and can articulate my strengths as a team member (final),how to set up a new team for success (final),confident communicating and collaborating effectively when working in a virtual team environment (final),effectively and efficiently navigate team conflicts while working towards solutions (final),and can articulate my strengths as a team member (change),how to set up a new team for success (change),confident communicating and collaborating effectively when working in a virtual team environment (change),effectively and efficiently navigate team conflicts while working towards solutions (change)
c02d309132acca1bccdc395f2ddd61fdb2adf17321c2095bd2c1988004f59c86,5.0,5.0,5.0,5.0,5,5,5,5,0.0,0.0,0.0,0.0
d87b989ef67a4d898b90253673a6b67e52f62b6c26bc4119b00d8a87483d77cb,4.0,4.0,4.0,4.0,5,5,5,5,1.0,1.0,1.0,1.0
6484bc7f99a8e4bd3e62530d90468f4591f02d24ecfa43007a62d5b3c6e7ff39,5.0,5.0,5.0,5.0,4,4,4,4,-1.0,-1.0,-1.0,-1.0
9ddbc7c2b91ac75b318e49aa1f1b3ceb0ecad3bbf937a3b96e06cea06ac9e354,4.0,4.0,4.0,4.0,4,4,4,4,0.0,0.0,0.0,0.0
64e6396d2f134e2ef5c62f8dd17f6b6e7453ccc3ae968f88efe0728c366827d9,3.0,2.0,4.0,3.0,4,4,5,4,1.0,2.0,1.0,1.0
7366e85eb3b8a0b6f7ccfd6021705a55aafab5ef76f70dcd86590579eabe7024,5.0,3.0,4.0,3.0,4,4,4,4,-1.0,1.0,0.0,1.0
3b3bd3d6636badba6de7c6bed224f61531d106fa6384e249d752ac58e7938c49,4.0,3.0,5.0,4.0,3,3,3,3,-1.0,0.0,-2.0,-1.0
16bfc74aca5a5225368fa0cd4f9129408be3712c026a0792ff60ef7a74f184d7,3.0,3.0,5.0,4.0,4,5,4,4,1.0,2.0,-1.0,0.0
6eac25ad9fd687ed723cbc24a83c85983492db1ea577be81f7bbf9488d6e7cd6,3.0,3.0,3.0,4.0,5,5,5,5,2.0,2.0,2.0,1.0
379649626998a028f146736d7177a02ed3e35a093321a9c66c2401faffd84d5a,4.0,4.0,3.0,3.0,5,5,5,5,1.0,1.0,2.0,2.0
978b5f4292850ea9fe06ce3be8b335211182a942583b0eea70a7736fe49132eb,4.0,3.0,4.0,3.0,4,4,4,4,0.0,1.0,0.0,1.0
58259c570865f919701154db83a41671bc3c911524c9b0fc341abb7cb06cec9a,5.0,4.0,3.0,5.0,5,4,3,4,0.0,0.0,0.0,-1.0
1327cea3717aaa316c3f1bc8d30a01c71745a8203e2b8315f61dd229f7d8b5e0,4.0,4.0,3.0,4.0,4,4,5,4,0.0,0.0,2.0,0.0
ed65b5b5df355088bf12fbf7b6ac4b8565eea17de2c4122c0a8716905275f76e,4.0,3.0,3.0,4.0,5,4,4,4,1.0,1.0,1.0,0.0
13f955946db705d03c6f29528c47201a796aae7ecfbba3ce2e849afe029359f8,3.0,2.0,3.0,4.0,4,4,4,5,1.0,2.0,1.0,1.0
ec349ec12884730adb1e2ece94fc99882e7925e03684a7ff2588576cbd612c01,4.0,3.0,4.0,3.0,4,4,4,4,0.0,1.0,0.0,1.0
243ad93aee3e033fd36772b00e8ba14766cd90b4e6bfa0ff4058216df29d8add,5.0,4.0,4.0,4.0,5,5,5,5,0.0,1.0,1.0,1.0
729e50d0fc14c8c720ea458810d51f0bb60f4ddb160ab680195349edc57c9a9d,4.0,4.0,3.0,4.0,5,5,5,5,1.0,1.0,2.0,1.0
3fff6bed307bf386581795c6089c892f1154bd75f6cf035b9b2659ae5b8b31e8,4.0,4.0,4.0,4.0,5,5,5,5,1.0,1.0,1.0,1.0
5b39815b9ad3286d085d74b1fa0cfe0b5da332bc136e0cedec678b4963c4c2dd,4.0,3.0,4.0,3.0,5,5,5,5,1.0,2.0,1.0,2.0
4d4f6acd01ecff615137cae36dd8ae940a8456c8925c823324604df576dc5637,3.0,3.0,4.0,3.0,4,4,4,4,1.0,1.0,0.0,1.0
b683e7e03f2b93eb5d49110918a1a0cfe7cef043013037925240d5e540d4fa74,4.0,3.0,5.0,4.0,5,5,5,4,1.0,2.0,0.0,0.0
eff6a9c913745783addbd5eded2dc68c1a0ec4f98434c220b55e239fad0e6a07,3.0,2.0,3.0,3.0,5,4,4,4,2.0,2.0,1.0,1.0
d9dd526dff98852523a63d001739b69e303f1e8943d8fa0896a8a74a180074dd,4.0,4.0,3.0,5.0,5,3,2,4,1.0,-1.0,-1.0,-1.0
0e4847e2f6b7c03e59b5bbaf30c48a6f6dbc50d6bcbf86d7ba51d33053d46ef6,4.0,4.0,4.0,4.0,5,5,5,5,1.0,1.0,1.0,1.0
b1040cfb1474f1674eb87347d8f882058c76f12ae2c4a04cf3b3207e7af58872,4.0,4.0,4.0,4.0,4,4,4,5,0.0,0.0,0.0,1.0
75be10d3c7bc0f01d37a23e0fc3f5b814a3baca62608e348b18855efa8461f2d,3.0,4.0,3.0,3.0,5,4,4,3,2.0,0.0,1.0,0.0
1f2b3a4fa86e511f1e53dda4c0e2834efb3f86275a63eea734214627d12a62c7,5.0,5.0,5.0,5.0,5,5,5,5,0.0,0.0,0.0,0.0
01224160a51822082c4fda00249987ddda82b7041ed91633fe166de181c9e9b4,5.0,4.0,3.0,5.0,5,5,5,5,0.0,1.0,2.0,0.0
620b7fb5741726cc3b0ac6e67f3886af269044b92042cbcf171ac3633307c126,4.0,3.0,4.0,4.0,4,4,5,5,0.0,1.0,1.0,1.0
5371fb1fbc95ea4c84a15f68a178924ea31e192c414724113fcb6ade6cd7839b,4.0,3.0,3.0,4.0,5,5,4,4,1.0,2.0,1.0,0.0
1d5287af9786c925d1ee62d82310b3062a9313f7b63c82acb814e64080e33c4c,4.0,3.0,4.0,4.0,5,5,5,5,1.0,2.0,1.0,1.0
fbe38f40e78f4311bd1f75c41b6fd96615bbe3c6767c5f326ff4e7445f91b667,5.0,4.0,4.0,4.0,5,4,4,4,0.0,0.0,0.0,0.0
138aa9f78303d957b501a55091f0c7e89537c83ded1e1359987224846aade21d,3.0,3.0,4.0,3.0,4,4,3,3,1.0,1.0,-1.0,0.0
aa46a8d2228822d8a6febfb77475f7cc6811e7a8b7e946a3b7c92bf4e59c61e8,5.0,3.0,4.0,5.0,5,5,5,4,0.0,2.0,1.0,-1.0
28b85b3084f25119e32021ce16d7e1652ab924bbb34160fbd5933c5108621961,4.0,3.0,2.0,3.0,4,4,3,4,0.0,1.0,1.0,1.0
e6daa2ce1a90875e35c3d3de4a8acad9075908ff4101f16bc9dc45c30bb99915,4.0,3.0,3.0,4.0,4,4,4,4,0.0,1.0,1.0,0.0
293630c601c964e9cd86fff2c78330337d30bb349f52f6ef6761031c15b88bbf,4.0,4.0,5.0,4.0,4,4,4,4,0.0,0.0,-1.0,0.0
ff22aef123f19ad9571ed72a5ac4abd4347c6db9c484f61df4b874915fb6666e,4.0,4.0,4.0,4.0,4,5,4,5,0.0,1.0,0.0,1.0
570392c9dd4a2482f6e04e11c34b6b2e076391662a34f0562bea17da7f35216c,5.0,5.0,4.0,3.0,4,5,4,5,-1.0,0.0,0.0,2.0
224c5bcac069af1c40f994e5e67756267beb0791ce1f07c850d98a77bc1ac3a5,4.0,3.0,4.0,4.0,4,5,5,5,0.0,2.0,1.0,1.0
53f58a0368456c48f6403a4d5d1c90a82b2a78ad5df5d2dfd27dc2bec496704f,5.0,4.0,3.0,4.0,4,5,5,4,-1.0,1.0,2.0,0.0
9e50eba694332f0fde0488d84d59f3bd1186c819b8ed83eea55fa77cdb1ac876,3.0,3.0,4.0,4.0,4,4,4,4,1.0,1.0,0.0,0.0
7d204c0b9baa2c729c85bfbe98abc6cf30c7cae82af00430d63eb6cd2d5b9db0,4.0,3.0,4.0,2.0,3,4,4,4,-1.0,1.0,0.0,2.0
58b3cfaeff834e0d2455824ee7411a0a711efb08627c4d524fa894ba6eece238,5.0,4.0,3.0,4.0,5,4,4,4,0.0,0.0,1.0,0.0
48c934b978f148f486dbcdd69b1fd8d6c186317dcae37007bc1f5d83faac5e1a,4.0,3.0,3.0,3.0,5,4,4,4,1.0,1.0,1.0,1.0
99adabeeb3ad685d370cdec8053a5ca50a9f064e4c8d97e9e69a7d98d8a8741e,4.0,4.0,3.0,5.0,5,5,5,5,1.0,1.0,2.0,0.0
a6e2bbba87fa378663804ed929bb1b8b4b549e38e752263b22617f9922ea0f52,4.0,4.0,5.0,4.0,5,5,5,5,1.0,1.0,0.0,1.0
3ca5a0e96077f47f0830448075ae6384e950e2a1aaf4633313e8fa2e0c03e2ca,4.0,4.0,4.0,3.0,4,5,4,5,0.0,1.0,0.0,2.0
44c50b629772bce5945ccdc9312778849477d13521073356020efd3165a3575d,4.0,4.0,4.0,5.0,4,3,4,5,0.0,-1.0,0.0,0.0
fb636c9a8e7b186ae92875560b9c89a5751fbda643df6c7ed997599240552447,4.0,3.0,4.0,3.0,4,4,4,4,0.0,1.0,0.0,1.0
4f2e776785204b1c72c6ae6dddf6ff719900144cb54ba4c317ab806145eb3625,5.0,5.0,5.0,5.0,5,5,5,5,0.0,0.0,0.0,0.0
d9ce8cf00da2f8df235bfd1c81060cbd51a828915b644bfb5d1074e708d0951f,5.0,4.0,4.0,4.0,5,5,5,5,0.0,1.0,1.0,1.0
71b409774f8585b412435d4a0475559ecaf8e9ba9b5ca25ea2f07f77d8b0e593,4.0,4.0,4.0,5.0,4,5,5,5,0.0,1.0,1.0,0.0
26b9a02bd40f7e74f580efe1260e8f71c36386b1a215c14a7a664f9620427c8e,4.0,3.0,4.0,3.0,5,4,4,4,1.0,1.0,0.0,1.0
bfcf62cfa46203734aa131f4fb066e949fceb96017c434cb8eb7b5bdb46b21ad,3.0,3.0,3.0,3.0,4,4,4,4,1.0,1.0,1.0,1.0
37745e914af0ee24cd74de84a1b3bdc11fb9e7875df68e1e810116386ff45f8e,4.0,3.0,4.0,5.0,4,5,4,4,0.0,2.0,0.0,-1.0
2bb180da266073fb24ebc6196a4033a9ac7ae835ca7ab46e50b5ceaed127bc27,4.0,4.0,5.0,4.0,5,5,5,5,1.0,1.0,0.0,1.0
91d03a650d676ef9300a45cc8fcca9485a083dfaa4d2e5b19d9ef933be787c37,3.0,3.0,3.0,4.0,5,4,4,5,2.0,1.0,1.0,1.0
778548173a932412b0211e0629d77c1950d280cc1af0211d4f1fb531b188fcb7,3.0,2.0,4.0,4.0,3,4,4,4,0.0,2.0,0.0,0.0
7142e940363cf4fb966115c3b48354bf021ce64df0a9e9e91e8ef424aa675d74,3.0,3.0,4.0,3.0,4,4,5,4,1.0,1.0,1.0,1.0
28355421517794c5296d2b039cfd05fe6e3fc416b3fd50d505fdcd16f9c6ed40,5.0,4.0,5.0,5.0,5,5,5,5,0.0,1.0,0.0,0.0
125fec6dc2fa50b52f1608a69f07e59d940f1f68535f869ff52a0e702f4d321e,4.0,3.0,4.0,4.0,4,4,4,4,0.0,1.0,0.0,0.0
dd5dd93c6f1e5516463677216af08a8247d93eb68e3de6ea6bf3ca2ae37ff801,4.0,4.0,4.0,3.0,4,4,4,4,0.0,0.0,0.0,1.0
256848a80e774678c58d78a76189a31a26118eb3e9b15c213197c8ee7121b00c,5.0,5.0,5.0,5.0,5,5,5,5,0.0,0.0,0.0,0.0
dac0af7bd156cbb8e86cf002fc1ac62d2635b77610d5a3034aa8f9b114f1df4c,3.0,3.0,3.0,3.0,3,3,3,3,0.0,0.0,0.0,0.0
6f2e1c9d59dfd8eff4966a552e994040f95dd7bff9cf06bbeed29002adf23e04,4.0,3.0,5.0,5.0,5,5,5,5,1.0,2.0,0.0,0.0
1b8e95d83c37f6b4cf7ef15a5aaae15f4a6b51b3a280cfce424e8caddc990c46,3.0,4.0,4.0,4.0,4,4,4,4,1.0,0.0,0.0,0.0
d41cd0f20b6a49bdb77a257d0aeaf74c7c0a29d0eaa2ef5d941b03c24fe9e786,4.0,4.0,4.0,4.0,5,5,5,5,1.0,1.0,1.0,1.0
8f285abdb83435637c790a9922ccdcd2eed6a89e934380aac325234a7ea44f37,4.0,5.0,4.0,4.0,5,4,5,5,1.0,-1.0,1.0,1.0
638b12e5ea13f5aaef326dba0ad4070116fa3e0c8ab0b7dc942d56f75e49750a,4.0,4.0,4.0,3.0,4,4,3,3,0.0,0.0,-1.0,0.0
d3f2a5743dc6fa62f3bff03fbf51a7ce291798bbcda541d7bba9e3cb206681cc,5.0,5.0,5.0,5.0,5,5,5,5,0.0,0.0,0.0,0.0
52badddfec0abbbd22b6ec63993627dbe0581065ee77a564a85737c92a449175,5.0,3.0,5.0,5.0,5,5,5,5,0.0,2.0,0.0,0.0
4270c4d533e02d08f91eabaa812fbbf33f03aaaf9fc60db5ad98fb35a842c97d,3.0,2.0,4.0,3.0,4,3,4,4,1.0,1.0,0.0,1.0
f2a448579ac19a8fc3372ed45dbceeaeae764afeb2d15d324af90f0462dbeeda,3.0,3.0,4.0,4.0,4,4,5,4,1.0,1.0,1.0,0.0
fbaa09b0cdfb0c98c5b5ae60afe637aadac4b9520105716e7f2370046c5efd29,4.0,2.0,4.0,3.0,4,4,5,3,0.0,2.0,1.0,0.0
6fedcb42c18098e80ca185be5d00cd313659728aad2f5589a8631f436c384425,4.0,3.0,4.0,4.0,4,5,5,5,0.0,2.0,1.0,1.0
3956879293c32a0e5f18af0337a04d2e07e1d6a1fe0afb4a441e4329c9b7f2b7,5.0,4.0,4.0,4.0,4,5,4,4,-1.0,1.0,0.0,0.0
ef104801fb608cf8e72cd455a1c9ece0a057c41b10e81e756a171b5b48797239,4.0,2.0,3.0,2.0,5,4,5,5,1.0,2.0,2.0,3.0
7ec112c0bb303fc3b32223dcbb5b850aefd9977a77e3707d86757655936a8bf3,4.0,4.0,4.0,4.0,5,5,5,5,1.0,1.0,1.0,1.0
fe5c6f821d165438219194a68c514dc6d7e6471c32d8c740c706d2a902848cd9,4.0,5.0,4.0,5.0,5,5,5,5,1.0,0.0,1.0,0.0
d17a6c6c8feebb2e6c10064a937605e9e391936d49dea94b687be1f690d312c9,3.0,3.0,3.0,2.0,5,5,5,5,2.0,2.0,2.0,3.0
bf08add134d9efbfdb59e424c02d9f6e994b2d0500a19780cf334b98bcc24c49,4.0,4.0,4.0,4.0,5,5,4,4,1.0,1.0,0.0,0.0
8e062bfcb825e224bcc438b8cc8064a0106e3766e370c6a0315885c5451928ad,3.0,2.0,3.0,2.0,5,5,5,5,2.0,3.0,2.0,3.0
b23639fa7a81c015bcab2324d703540c5ff03bd7ec93e1fb05004df801f4730c,3.0,2.0,4.0,3.0,4,3,3,4,1.0,1.0,-1.0,1.0
f7b2f0ac0b0ad828f45ef7b204b3bb6640abf81f79624d2ac71f99110316e184,5.0,4.0,4.0,4.0,5,4,4,4,0.0,0.0,0.0,0.0
d037c68bc302e73b9adca540a16062bf2c6f9033822397f50d93d79485584d80,5.0,3.0,4.0,4.0,5,5,5,5,0.0,2.0,1.0,1.0
7e27f88b42c70712bcf749e192ba0f5c9fccbb2c4566f2593852faf3c1541cc5,3.0,3.0,3.0,4.0,4,4,4,4,1.0,1.0,1.0,0.0
d56fec8aa1493f116e2269d6cb4d1e3ef571c0853a4667a55130bec1b72c77f9,5.0,5.0,4.0,4.0,5,5,5,5,0.0,0.0,1.0,1.0
ad49102cf2d6e6e1c68a1c9d9df68520f3b2284663754e072c8cd1fa0fc317d9,5.0,4.0,4.0,5.0,5,5,4,5,0.0,1.0,0.0,0.0
6e2c2c3145b9f9b421d2c3fd8a214a7266d4ce5e0e066cddd04d33a1175d76f1,4.0,4.0,4.0,4.0,5,5,5,5,1.0,1.0,1.0,1.0
f802ccf482a27d9e0f9a7e236ee502b66f5cc5995443bf27e6f7d7f291e791e2,3.0,3.0,3.0,4.0,4,4,4,4,1.0,1.0,1.0,0.0
090c9c545f1d6129c0e0a3ccf4656c85953e36a207a054865497c8b5c633a03b,2.0,3.0,3.0,3.0,4,3,3,3,2.0,0.0,0.0,0.0
9666224a7f56ab440e8d49f3ea212e1ccdbe2d38b0d784f49ad27e32189c7cc8,4.0,4.0,4.0,4.0,5,5,5,5,1.0,1.0,1.0,1.0
d232f22291467e931cc8946241d830189a3ac9afc97230e53db2138253141f9e,3.0,3.0,4.0,4.0,5,5,5,5,2.0,2.0,1.0,1.0
